Tunnus;Nimi;Jakeluosoite;Postinumero;Postitoimipaikka;Huoneala (hum²);Bruttoala (brm²);Tilavuus (rm³);Kerrosala (m²);Rakennusvuosi;Peruskorjausvuosi;Kerrosten lkm;Kellarikerrosten lkm;Ullakkokerrosten lkm
609001;Allinpuiston päiväkoti;Allitie 3;90150;OULU;1 384;1 580;4 771;1 701;1963;1987;2;1;0
609201;Hintan päiväkoti, päärakennus;Valjastie 17;90650;OULU;906;981;2 969;981;1968;2006;1;0;0
609202;Hintan ryhmäperhepäiväkoti Manteli ;Valjastie 17;90650;OULU;202;220;699;220;1968;2006;1;0;0
609203;Hintan hammashuoltola;Valjastie 17;90650;OULU;242;273;815;273;1968;2007;1;0;0
609301;Kastellin päiväkoti;Raharinnantie 32;90230;OULU;593;640;2 433;561;1919;2005;2;1;0
609302;Kastellin päiväkoti, asunto;Raharinnantie 32;90230;OULU;57;80;258;80;1919;1978;1;0;0
609303;Kastellin päiväkoti, varasto;Raharinnantie 32;90230;OULU;37;37;76;37;1919;0;1;0;0
609304;Kastellin päiväkoti, kellari;Raharinnantie 32;90230;OULU;14;14;30;14;1919;0;0;1;0
609501;Merikosken päiväkoti;Kytkintie 5 (ent. Kytkintie 1);90500;OULU;1 256;1 355;4 140;1 227;1971;2004;1;1;0
609502;Merikosken päiväkoti, leikkivälinevarasto;Kytkintie 5 (ent. Kytkintie 1);90500;OULU;16;18;58;18;1980;0;1;0;0
609503;Merikosken päiväkoti, pihavarasto jätekatoksen yhteydessä;Kytkintie 5 (ent. Kytkintie 1);90500;OULU;4;0;0;0;2004;0;0;0;0
609601;Rajakylän päiväkoti;Ruiskukkatie  1;90580;OULU;961;1 024;3 514;1 024;1978;2006;1;0;0
609801;Kangaspuiston päiväkoti;Valtatie  35;90500;OULU;724;826;2 940;826;1981;0;1;0;0
609802;Kangaspuiston päiväkoti, piharakennus / varasto;Valtatie 35;90500;OULU;15;16;40;16;2006;0;1;0;0
609901;Myllyojan päiväkoti;Karvarinaukio 16;90650;OULU;959;1 101;3 880;1 031;1979;0;1;0;0
609902;Myllyojan päiväkoti, varastot;Karvarinaukio 16;90650;OULU;13;0;0;0;1979;0;0;0;0
610001;Puolivälinkankaan päiväkoti ja nuorisotilat;Mielikintie 7;90550;OULU;1 506;1 704;6 335;1 618;1979;0;1;1;0
